# ----------------------------------------
# Aerlingus.com All Website Traffic (excluding internal EI traffic) UA
# New Custom Report
# 20180212-20180212
# ----------------------------------------

Transaction ID,Booked Origin Airport,Booked Destination Airport,trans_Date,Quantity
22K5GS|a6497ba308ed167ec4a5487ce9db03dac655eb1b,SFO,DUB,2018-02-12T06:24:22.330Z,2
22K8EN|35dbb4bc04febca04a11aedab8b93452bc8d31d9,DUB,AMS,2018-02-12T08:03:02.743Z,2
23BYPW|ad4b1e9139113c01a8d16c12a52e64db54c2e6e9,DUB,LHR,2018-02-12T00:28:14.095Z,2
23C37B|f18e2da30cb27280679c97c1884729edb0d12fed,BDL,EDI,2018-02-12T02:28:33.477Z,2
23C37B|f18e2da30cb27280679c97c1884729edb0d12fed,EDI,BDL,2018-02-12T02:28:33.477Z,2
23C38F|ab5b6879a5ecb1f5a1963841716c99435077de6f,AMS,DUB,2018-02-12T02:29:59.320Z,2
23C38F|ab5b6879a5ecb1f5a1963841716c99435077de6f,DUB,AMS,2018-02-12T02:29:59.320Z,2
23C3HJ|a56806d940ec998602fa955556ebc247cea8fab0,LHR,ORK,2018-02-12T02:39:17.646Z,2
23C3HJ|a56806d940ec998602fa955556ebc247cea8fab0,ORK,LHR,2018-02-12T02:39:17.646Z,2
23CBJF|1b0abcd75621d359fd852bb20e13244544e3512c,DUB,MXP,2018-02-12T07:55:27.035Z,2
23CBJF|1b0abcd75621d359fd852bb20e13244544e3512c,MXP,DUB,2018-02-12T07:55:27.035Z,2
23CBQJ|8a572c94b17544d6ddefcdbd47be328dae6dfee5,DUB,FAO,2018-02-12T08:08:11.807Z,2
23CBQJ|8a572c94b17544d6ddefcdbd47be328dae6dfee5,FAO,DUB,2018-02-12T08:08:11.807Z,2
23CG72|5b70c1cb29f9d7daa9cd66f78300539990a9ba65,DUB,LGW,2018-02-12T09:43:39.184Z,2
23CG72|5b70c1cb29f9d7daa9cd66f78300539990a9ba65,LGW,DUB,2018-02-12T09:43:39.184Z,2
23CGA6|f91468926126762bcb553a286702af349c095680,DUB,KIR,2018-02-12T09:46:18.755Z,2
23CGMB|72d8b05a0ee9a42969b48bd5a744f3a95002518f,DUB,IOM,2018-02-12T09:54:58.956Z,2
23CGMB|72d8b05a0ee9a42969b48bd5a744f3a95002518f,IOM,DUB,2018-02-12T09:54:58.956Z,2
23SW3J|5f62d4fd1f64d54a623b3f360e24bcad1e0cbdd6,BOJ,DUB,2018-02-12T00:59:38.329Z,2
23SW3J|5f62d4fd1f64d54a623b3f360e24bcad1e0cbdd6,DUB,BOJ,2018-02-12T00:59:38.329Z,2
23SWB2|53ada025b82051441f56d6e68d60113354ebd4f9,DUB,LHR,2018-02-12T01:17:00.970Z,2
23SXAS|271f8f81d68ae47ac1b35281b7b3c54763127004,DUB,IAD,2018-02-12T02:04:40.465Z,2
23SXAS|271f8f81d68ae47ac1b35281b7b3c54763127004,IAD,DUB,2018-02-12T02:04:40.465Z,2
